RecipientName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Cuba,11.07111359,11.07111359,0.0,11.07111359,0.0,11.07111359
Côte d'Ivoire,0.0,2.37455394,2.37455394,0.0,0.0,2.37455394
Côte d'Ivoire,0.0,2.4729587099999994,2.4729587099999994,0.0,0.0,2.4729587099999994
Côte d'Ivoire,0.0,4.1618613600000005,4.1618613600000005,0.0,0.0,4.1618613600000005
Côte d'Ivoire,0.0,25.5347858,25.5347858,0.0,0.0,25.5347858
Côte d'Ivoire,0.19983,0.19983,0.0,0.19983,0.0,0.19983
Côte d'Ivoire,0.21417059999999988,0.21417059999999988,0.0,0.21417059999999988,0.0,0.21417059999999988
Côte d'Ivoire,0.4,0.4,0.0,0.4,0.0,0.4
Côte d'Ivoire,0.6550247,0.6550247,0.0,0.6550247,0.0,0.6550247
Côte d'Ivoire,0.731901,0.731901,0.0,0.731901,0.0,0.731901
Côte d'Ivoire,5.769647839999999,5.769647839999999,0.0,0.0,5.769647839999999,5.769647839999999
Côte d'Ivoire,70.72986647000002,70.72986647000002,0.0,70.72986647000002,0.0,70.72986647000002
Democratic Republic of the Congo,0.0,7.1031337899999984,7.1031337899999984,0.0,0.0,7.1031337899999984
Democratic Republic of the Congo,0.0,21.1339876,21.1339876,0.0,0.0,21.1339876
Democratic Republic of the Congo,0.0,55.296337969999996,55.296337969999996,0.0,0.0,55.296337969999996
Democratic Republic of the Congo,0.0,59.28908704,59.28908704,0.0,0.0,59.28908704
Democratic Republic of the Congo,1.9113710899999994,1.9113710899999994,0.0,1.9113710899999994,0.0,1.9113710899999994
